X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-89.8922192,48.2289993,Thunder Bay District,2018,Rainbow Trout,,,Jinx Lake A (Unofficial Name),16-2850-53457,LYBSTER,Yearlings,495,48.2289993,-89.8922192,12369
-89.9052884,48.2285757,Thunder Bay District,2018,Rainbow Trout,,,Strange Lake 81E (Unofficial Name),16-2843-53456,STRANGE,Yearlings,500,48.2285757,-89.9052884,12370
-89.1006209,50.2031325,Thunder Bay District,2018,Splake,,,Chimney Lake (Unofficial Name),16-3501-55631,,Yearlings,2500,50.2031325,-89.1006209,12371
-90.2819861,48.236927,Thunder Bay District,2018,Splake,,,Larrys Lake 2 (Unofficial Name),15-7018-53460,,Yearlings,1000,48.236927,-90.2819861,12372
-89.8495988,48.1589453,Thunder Bay District,2019,Brook Trout,,,Devonline Lake (Unofficial Name),16-2881-53377,DEVON,Fingerlings,2000,48.1589453,-89.8495988,12378
-90.3668482,48.6211686,Thunder Bay District,2019,Brook Trout,,,Teardrop Lake (Unofficial Name),15-6941-53885,HAINES,Fingerlings,6000,48.6211686,-90.3668482,12379
-89.9450293,48.1577255,Thunder Bay District,2019,Brook Trout,,,Lismore Lake 1 (Unofficial Name),16-2810-53378,LISMORE,Fingerlings,10000,48.1577255,-89.9450293,12380
-89.7276487,48.1045073,Thunder Bay District,2019,Brook Trout,,,Joan Lake (Unofficial Name),16-2970-53313,DEVON,Fingerlings,5000,48.1045073,-89.7276487,12381
-89.9521032,48.1556183,Thunder Bay District,2019,Brook Trout,,,Lismore Lake 2 (Unofficial Name),16-2805-53376,LISMORE,Fingerlings,2000,48.1556183,-89.9521032,12382
-89.825886,48.1796871,Thunder Bay District,2019,Brook Trout,,,Twin Mountain Lake (Unofficial Name),16-2899-53399,FRALEIGH,Fingerlings,3000,48.1796871,-89.825886,12383
-90.2398912,48.2550614,Thunder Bay District,2019,Brook Trout,,,Sand North Lake (Unofficial Name),15-7049-53481,,Fingerlings,3000,48.2550614,-90.2398912,12384
